옵션코드,적용 카테고리,옵션 구분(그룹명),추가 선택-1,추가 선택-2,추가 선택-3,길이/규격,단가,장바구니 표시,메인 하단 표시,이미지파일명,표시 조건
O-051,함체,함체형태,환풍구(팬)형,,,,80000,,,,함체
O-052,함체,고정방식,벽부형,,,,0,,,,함체
O-053,함체,고정방식,밴드형,,,,40000,,,,함체
O-054,함체,고정방식,스텐(서스)밴드형,,,,30000,,,,함체
O-055,함체,고정방식,자립식 4인치 0.5M,,,,120000,,,,함체
O-056,함체,고정방식,자립식 4인치 1M,,,,125000,,,,함체
O-057,함체,고정방식,자립식 4인치 1.5M,,,,130000,,,,함체
O-058,함체,고정방식,자립식 5인치 0.5M,,,,150000,,,,함체
O-059,함체,고정방식,자립식 5인치 1M,,,,155000,,,,함체
O-060,함체,고정방식,자립식 5인치 1.5M,,,,160000,,,,함체
O-061,함체,케이블 인입 방식,홀 가공 없음,,,,,,,,함체
O-062,함체,케이블 인입 방식,(입력)사용하는 후렉시블 사이즈 / 수량,,,,,,,,함체
O-063,함체,케이블 인입 방식,함체 뒷면 파이프 직결 방식,,,,,,,,함체
O-064,옥상 브라켓,옥상 가이드 브라켓,높이 200mm 가이드(기본),,,,0,,,,
O-065,옥상 브라켓,옥상 가이드 브라켓,높이 120mm 가이드,,,,0,,,,
O-066,옥상 브라켓,카메라 부착 방식,직결형(기본-원형판재에 카메라 직결피스로 체결)),,,,0,,,,
O-067,옥상 브라켓,카메라 부착 방식,뷸렛카메라박스,,,,20000,,,,
O-068,옥상 브라켓,카메라 부착 방식,알루미늄 각도기 ,,,,8000,,,,
O-069,옥상 브라켓,카메라 부착 방식,스텐 각도기,,,,10000,,,,
O-070,옥상 브라켓,카메라 부착 방식,번호인식 각도기,,,,25000,,,,
O-071,옥상 브라켓,가로파이프 이중 고정 장치,,,,,5000,,,,
O-072,옥상 브라켓,1단 / 2단 회전형,,,,,65000,,,,
O-073,옥상 브라켓,일반 벽 이격 브라켓,이격 길이,(입력) 이격 길이 입력,,,65000,,,,
O-074,옥상 브라켓,빗각벽-이격 브라켓,벽 빗각의 각도,(입력) 벽 빗각 각도 입력,,,65000,,,,
O-075,옥상 브라켓,빗각벽-이격 브라켓,밖으로 나오는 파이프의 길이,(입력) 파이프의 길이,,,65000,,,,
O-076,천장형 브라켓,카메라 형태,뷸렛카메라,,,,,,,,
O-077,천장형 브라켓,카메라 형태,하우징카메라,,,,,,,,
O-078,천장형 브라켓,뷸렛카메라,높이 60mm (기본),,,,0,,,,뷸렛카메라
O-079,천장형 브라켓,뷸렛카메라,높이 120mm,,,,5000,,,,뷸렛카메라
O-080,천장형 브라켓,뷸렛카메라,T형(뷸렛카메라 양쪽에 각 1대씩 설치용),,,,5000,,,,뷸렛카메라
O-081,천장형 브라켓,하우징카메라,각도기형 (하우징카메라 1대 설치용),,,,5000,,,,하우징카메라
O-082,천장형 브라켓,하우징카메라,T형(하우징카메라 2대 설치용),,,,25000,,,,하우징카메라
O-083,하리형 브라켓,카메라 형태,뷸렛카메라,,,,,,,,
O-084,하리형 브라켓,카메라 형태,하우징카메라,,,,,,,,
O-085,하리형 브라켓,카메라박스 사이즈,높이 60mm (기본),,,,,,,,뷸렛카메라
O-086,하리형 브라켓,카메라박스 사이즈,높이 120mm (뷸렛카메라 최대 5대 설치 가능),,,,5000,,,,뷸렛카메라
O-087,하리형 브라켓,카메라박스 사이즈,각도기형 (하우징카메라 설치용),,,,,,,,뷸렛카메라
O-088,하리형 브라켓,브라켓 형태,기본형(박스형),,,,0,,,,하우징카메라
O-089,하리형 브라켓,브라켓 형태,T형(하우징카메라 2개 설치용),,,,25000,,,,하우징카메라
O-090,벽부형 브라켓,흔들림 방지,,와이어고리,,,20000,,,벽부형브라켓_뷸렛_흔들림방지_와이어고리.png,벽부형 브라켓
O-091,벽부형 브라켓,흔들림 방지,,삼각파이프 받침,,,50000,,,벽부형브라켓_뷸렛_흔들림방지_삼각파이프받침.png,벽부형 브라켓
O-092,벽부형 브라켓,흔들림 방지,,와이어고리&삼각파이프받침,,,70000,,,벽부형브라켓_뷸렛_흔들림방지_와이어고리삼각파이프받침.png,벽부형 브라켓
O-093,밴드형 브라켓,흔들림 방지,3인치,와이어고리,,,40000,,,,밴드형 브라켓
O-094,밴드형 브라켓,흔들림 방지,3인치,삼각파이프 받침,,,60000,,,,밴드형 브라켓
O-095,밴드형 브라켓,흔들림 방지,3인치,와이어고리&삼각파이프받침,,,100000,,,,밴드형 브라켓
O-096,밴드형 브라켓,흔들림 방지,4인치,와이어고리,,,45000,,,,밴드형 브라켓
O-097,밴드형 브라켓,흔들림 방지,4인치,삼각파이프 받침,,,65000,,,,밴드형 브라켓
O-098,밴드형 브라켓,흔들림 방지,4인치,와이어고리&삼각파이프받침,,,110000,,,,밴드형 브라켓
O-099,밴드형 브라켓,흔들림 방지,5인치,와이어고리,,,50000,,,,밴드형 브라켓
O-100,밴드형 브라켓,흔들림 방지,5인치,삼각파이프 받침,,,70000,,,,밴드형 브라켓
O-101,밴드형 브라켓,흔들림 방지,5인치,와이어고리&삼각파이프받침,,,120000,,,,밴드형 브라켓
O-102,밴드형 브라켓,흔들림 방지,6인치,와이어고리,,,60000,,,,밴드형 브라켓
O-103,밴드형 브라켓,흔들림 방지,6인치,삼각파이프 받침,,,80000,,,,밴드형 브라켓
O-104,밴드형 브라켓,흔들림 방지,6인치,와이어고리&삼각파이프받침,,,140000,,,,밴드형 브라켓
O-105,스텐(서스)밴드형 브라켓,흔들림 방지,,와이어고리,,,25000,,,,스텐(서스)밴드형 브라켓
O-106,스텐(서스)밴드형 브라켓,흔들림 방지,,삼각파이프 받침,,,60000,,,,스텐(서스)밴드형 브라켓
O-107,스텐(서스)밴드형 브라켓,흔들림 방지,,와이어고리&삼각파이프받침,,,85000,,,,스텐(서스)밴드형 브라켓
